Point_ID,Year,Track,Session,Driver,Lap_Time,Time,Distance,X,Y,Speed,Throttle,Brake,nGear,RPM,DRS,X_norm,Y_norm
2018_Monza_Q_RAI_1,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:00,-0.014862314745407055,-143.06202156411595,-112.92366542035658,322.0,100.0,False,8,11581.3250304,8,0.005526448052553943,0.21540294423602396
2018_Monza_Q_RAI_2,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:00.066000,5.903333333333329,-142.30789625540064,-104.7814518676735,322.0,100.0,False,8,11597.0,8,0.006126384424857466,0.2191532357922546
2018_Monza_Q_RAI_3,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:00.223000,20.024462134735312,-140.7,-87.9,323.3138087862604,100.0,False,8,11627.217602083989,8,0.007405529197426869,0.2269288076298892
2018_Monza_Q_RAI_4,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:00.305000,27.413333333333327,-139.96417806670044,-80.47284367915839,324.0,100.0,False,8,11643.0,8,0.007990904514000075,0.23034974487952428
2018_Monza_Q_RAI_5,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:00.523000,47.08861735630093,-138.2,-63.0,324.9083328,100.0,False,8,11671.1583168,8,0.009394377620129788,0.23839771091348952
2018_Monza_Q_RAI_6,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:00.545000,49.08,-138.01683212079402,-61.10506271499554,325.0,100.0,False,8,11674.0,8,0.00954009487918924,0.23927051623277482
2018_Monza_Q_RAI_7,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:00.724000,65.32973330494636,-136.5,-45.1,326.4916672,100.0,False,8,11697.8666752,8,0.010746794547567764,0.24664242451896928
2018_Monza_Q_RAI_8,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:00.785000,70.88,-135.99761822272598,-39.94423852935471,327.0,100.0,False,8,11706.0,8,0.011146459029698217,0.24901716064989876
2018_Monza_Q_RAI_9,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:01.024000,92.65558993371769,-134.1,-21.2,327.9958336,100.0,False,8,11745.833344,8,0.012656089033362572,0.2576507292771238
2018_Monza_Q_RAI_10,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:01.025000,92.74666666666666,-134.09211445018087,-21.122586030526037,328.0,100.0,False,8,11746.0,8,0.012662362298690534,0.2576863860373125
2018_Monza_Q_RAI_11,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:01.265000,114.61333333333332,-132.1876730622591,-2.3342792911670083,328.0,100.0,False,8,11802.0,14,0.014177420398889877,0.26634025241708453
2018_Monza_Q_RAI_12,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:01.324000,120.00967156065187,-131.7,2.6,328.4916672,100.0,False,8,11813.062512,14,0.01456538351915738,0.26861297418273383
2018_Monza_Q_RAI_13,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:01.505000,136.61333333333332,-130.13574510328044,18.82576442824118,330.0,100.0,False,8,11847.0,12,0.015809809872775776,0.27608653735261257
2018_Monza_Q_RAI_14,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:01.623000,147.44938579164162,-129.1,29.5,330.4214290285714,100.0,False,8,11868.071451428572,12,0.01663378587876841,0.2810030745172257
2018_Monza_Q_RAI_15,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:01.785000,162.35777777777776,-127.69455430777107,43.53883237312015,331.0,100.0,False,8,11897.0,12,0.017751873258042054,0.2874693400072656
2018_Monza_Q_RAI_16,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:01.923000,175.11113124846938,-126.5,55.3,332.14999893333334,100.0,False,8,11921.724977066666,12,0.018702188238379443,0.29288651647372727
2018_Monza_Q_RAI_17,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:02.025000,184.55777777777774,-125.61229695189145,64.06273546472394,333.0,100.0,False,8,11940.0,12,0.019408390961203146,0.2969226195076507
2018_Monza_Q_RAI_18,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:02.223000,202.92316843957707,-123.9,81.2,333.8250005333333,100.0,False,8,11987.0250304,12,0.020770590597990475,0.30481601828277344
2018_Monza_Q_RAI_19,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:02.265000,206.82444444444442,-123.5443986364774,84.84602997622602,334.0,100.0,False,8,11997.0,12,0.021053485482371653,0.30649537431355434
2018_Monza_Q_RAI_20,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:02.505000,229.15777777777774,-121.5495931384185,105.57735920012867,335.0,100.0,False,8,12023.0,12,0.022640431789737073,0.3160441939846152
2018_Monza_Q_RAI_21,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:02.523000,230.83546058846542,-121.4,107.1,335.07499946666667,100.0,False,8,12025.399982933333,12,0.022759439020693394,0.31674552009181955
2018_Monza_Q_RAI_22,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:02.745000,251.55777777777774,-119.5477432861787,125.49480078290306,336.0,100.0,False,8,12055.0,12,0.02423298215818315,0.3252181382082939
2018_Monza_Q_RAI_23,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:02.823000,258.85223528259894,-118.9,132.0,336.3250005333333,100.0,False,8,12070.925026133333,12,0.024748287443396313,0.3282144233754199
2018_Monza_Q_RAI_24,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:02.985000,274.0244444444444,-117.5656925319443,145.7903128643689,337.0,100.0,False,8,12104.0,12,0.025809781564693646,0.33456622114618445
2018_Monza_Q_RAI_25,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:03.123000,286.971789216872,-116.4,157.8,337.57499946666667,100.0,False,8,12107.4499968,12,0.026737135866099233,0.3400978653319215
2018_Monza_Q_RAI_26,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:03.225000,296.55777777777774,-115.5002860617844,166.81378554346892,338.0,100.0,False,8,12110.0,12,0.027452893724860813,0.3442496016619279
2018_Monza_Q_RAI_27,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:03.423000,315.20324896589176,-113.7,184.7,338.8250005333333,99.17499946666666,False,8,12141.350020266667,12,0.02888509216261839,0.3524879656664133
2018_Monza_Q_RAI_28,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:03.465000,319.1577777777777,-113.31892459025785,188.5744809205413,339.0,99.0,False,8,12148.0,12,0.02918825265365701,0.35427254586528256
2018_Monza_Q_RAI_29,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:03.705000,341.75777777777773,-111.00474148277499,212.4228256650677,339.0,99.0,False,8,12173.0,12,0.03102927642292222,0.3652570582889345
2018_Monza_Q_RAI_30,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:03.723000,343.4583080134699,-110.8,214.5,339.14999893333334,99.07499946666667,False,8,12174.199991466667,12,0.03119215633295378,0.36621380172469814
2018_Monza_Q_RAI_31,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:03.945000,364.491111111111,-107.9254296081466,243.21183028459095,341.0,100.0,False,8,12189.0,12,0.03347899024886824,0.3794384284166307
2018_Monza_Q_RAI_32,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:04.023000,371.87921897130684,-107.0,252.4,341.0,100.0,False,8,12192.9000064,12,0.03421520593546221,0.3836704858390938
2018_Monza_Q_RAI_33,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:04.225000,391.0133333333332,-105.12295669164978,271.0399343483447,341.0,100.0,False,8,12203.0,12,0.03570846778472518,0.39225601211434785
2018_Monza_Q_RAI_34,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:04.323000,400.31753269550404,-104.3,279.2,341.4083328,99.5916672,False,8,12220.5583104,12,0.03636316223198137,0.39601452632104117
2018_Monza_Q_RAI_35,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:04.465000,413.8133333333332,-103.07406451786251,291.33119300720443,342.0,99.0,False,8,12246.0,12,0.037338442171975246,0.4016021359320579
2018_Monza_Q_RAI_36,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:04.623000,428.8249851600423,-101.7,305.1,342.0,99.0,False,8,12248.633335466666,12,0.0384315645915924,0.40794402813008734
2018_Monza_Q_RAI_37,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:04.705000,436.61333333333323,-100.99948198550392,312.28639451143624,342.0,99.0,False,8,12250.0,12,0.03898885425087461,0.4112540708453266
2018_Monza_Q_RAI_38,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:04.923000,457.3160793672723,-99.2,331.0,342.0,99.0,False,8,12292.821403428572,12,0.040420413014295324,0.41987352993913346
2018_Monza_Q_RAI_39,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:04.985000,463.21333333333325,-98.71422592813205,335.9828851248675,342.0,99.0,False,8,12305.0,12,0.04080686541294514,0.42216863948011324
2018_Monza_Q_RAI_40,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:05.186000,482.36416666666656,-97.1874055250786,351.7543410256785,343.0,100.0,False,8,12314.0,12,0.04202151115309054,0.42943294881216015
2018_Monza_Q_RAI_41,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:05.223000,485.88820310043525,-96.9,354.9,343.0,100.0,False,8,12315.85774972847,12,0.04225015356318201,0.43088183469728797
2018_Monza_Q_RAI_42,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:05.425000,505.1355555555554,-95.28054034338385,373.69680855952066,343.0,100.0,False,8,12326.0,12,0.043538497476658826,0.4395396170028902
2018_Monza_Q_RAI_43,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:05.523000,514.5123501227138,-94.5,382.8,343.8166656,100.0,False,8,12330.4916608,12,0.04415944804897681,0.44373253355722575
2018_Monza_Q_RAI_44,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:05.665000,528.1355555555555,-93.40188762730477,395.21680528395547,345.0,100.0,False,8,12337.0,12,0.045033039673131,0.4494516957617632
2018_Monza_Q_RAI_45,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:05.823000,543.3158280224062,-92.2,408.7,345.7860705388483,100.0,False,8,12340.930352694242,12,0.045989188597863495,0.4556620353662718
2018_Monza_Q_RAI_46,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:05.866000,547.4538888888887,-91.87136396468715,412.4581948134528,346.0,100.0,False,8,12342.0,12,0.04625063150205362,0.4573930543556863
2018_Monza_Q_RAI_47,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:06.106000,570.5872222222221,-90.030141594911,434.04430832171363,347.0,100.0,False,8,12361.0,12,0.04771539638444347,0.4673355864076968
2018_Monza_Q_RAI_48,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:06.123000,572.2235906793187,-89.9,435.6,346.9291669333333,100.0,False,8,12363.7624896,12,0.04781892914675018,0.4680521357007638
2018_Monza_Q_RAI_49,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:06.346000,593.6538888888888,-88.21942399656804,456.03543260902313,346.0,100.0,False,8,12400.0,12,0.0491558935202134,0.4774646658273268
2018_Monza_Q_RAI_50,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:06.423000,601.0532765270112,-87.7,462.5,346.0,99.67916586666666,False,8,12403.8500096,12,0.04956911575872875,0.48044223603525577
2018_Monza_Q_RAI_51,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:06.586000,616.7205555555555,-86.75174971035247,474.5908835160484,346.0,99.0,False,8,12412.0,12,0.05032348619588598,0.4860112791540845
2018_Monza_Q_RAI_52,2018,Monza,Q,RAI,00:01:19.119000,0 days 00:00:06.723000,629.8880774359227,-85.9,485.4,346.0,99.57083306666667,False,8,12412.0,12,0.05100108662307485,0.49098994226796444
